,text
96,Aliansi Reformasi KUHP Bali Minta DPR RI Tunda Pengesahan RKUHP https://www.kilasbali.com/aliansi-reformasi-kuhp-bali-minta-dpr-ri-tunda-pengesahan-rkuhp/ …
97,"Dinilai Bermasalah, Aliansi Reformasi KUHP Bali Minta DPR RI Tunda Pengesahan RKUHP https://www.balinetizen.com/2019/08/14/dinilai-bermasalah-aliansi-reformasi-kuhp-bali-minta-dpr-ri-tunda-pengesahan-rkuhp/ … via @Bali Netizen"
98,"Dinilai Bermasalah, Aliansi Reformasi KUHP Bali Minta DPR RI Tunda Pengesahan RKUHP: http://metrobali.com/dinilai-bermasalah-aliansi-reformasi-kuhp-bali-minta-dpr-ri-tunda-pengesahan-rkuhp/ … via @metrobali"
99,"Tiga isu dalam RKUHP ini adalah penghinaan kepada presiden, kejahatan terhadap kesusilaan serta tindak pidana khusus. http://dlvr.it/RBCrYr "
100,"#JogjaPers (via pkbidiy): https://twitter.com/pkbidiy/status/1161521877023678467 … RT pelangi_media: Sarat Kriminalisasi, Aliansi Reformasi KUHP Dorong RKUHP Dievaluasi https://www.mediapelangi.com/sarat-kriminalisasi-aliansi-reformasi-kuhp-dorong-rkuhp-dievaluasi/ … pic.twitter.com/p0rNVrF9aKpic.twitter.com/00rsE7qYn1"
101,"Aliansi Reformasi KUHP Bali mendorong evaluasi dan pembahasan terhadap pasal-pasal bermasalah dalam Rancangan Kitab Undang-Undang Hukum Pidana (RKUHP), karena akan dapat menghambat perwujudan masyarakat yang berkualitas dan sehat di Bali.

https://www.balinetizen.com/2019/08/13/ada-muatan-pasal-pasal-kriminalisasi-berlebihan-di-rancangan-kuhp/ …"
102,"Aliansi Reformasi RKUHP Bali ini akan melayangkan surat secara langsung kepada DPR RI untuk meminta penundaan pengesahan RKUHP ini dan agar DPR RI dapat mengevaluasi bahkan menghapus pasal-pasal bermasalah dalam RKUHP.

https://diksimerdeka.com/2019/08/13/dinilai-bermasalah-aliansi-reformasi-kuhp-bali-minta-dpr-ri-tunda-pengesahan-rkuhp/ …"
103,"Sarat Kriminalisasi, Aliansi Reformasi KUHP Dorong RKUHP Dievaluasi https://www.mediapelangi.com/sarat-kriminalisasi-aliansi-reformasi-kuhp-dorong-rkuhp-dievaluasi/ …pic.twitter.com/WZ9xGYuoRJ"
104,"Sarat Kriminalisasi, Aliansi Reformasi KUHP Dorong RKUHP Dievaluasi https://www.mediapelangi.com/sarat-kriminalisasi-aliansi-reformasi-kuhp-dorong-rkuhp-dievaluasi/ …pic.twitter.com/Jgy5JU4P4F"
105,"Yth , ketua DPR RI 
Apakah RKUHP nasional sudah menjadi UU ?"
106,"Saksikanlah tayangan ulang Indonesia Lawyers Club dengan tema ""Kontroversi RKUHP: Dari kumpul kebo sampai penghinaan Presiden"".
Minggu, 29 Desember 2019 jam 19.30 WIB hanya di tvOne & streaming tvOne connect.
#ILCKontroversiKUHPpic.twitter.com/abq3ytvigI"
107,"Wikkk setidaknya kita telah diskusi dan berjuang di aksi peduli Novel, hardiknas, RKUHP dan KPK tan"
108,"Loh, gak usah ormas. Kan pemerintah dan DPR-nya mau penjarain, ada kok pasalnya di RKUHP "
109,"Saksikanlah tayangan ulang Indonesia Lawyers Club dengan tema ""Kontroversi RKUHP: Dari kumpul kebo sampai penghinaan Presiden"".
Minggu, 29 Desember 2019 jam 19.30 WIB hanya di tvOne & streaming tvOne connect.
#ILCKontroversiKUHPpic.twitter.com/rj27lE5bki"
110,And then here comes the RKUHP ngawur yg bakal menggilas industri pariwisata kita. 
111,Dpr lagi nyusun rkuhp
112,"Ngaji. Menjadi hal yang harus dilakukan oleh santri dimanapun, kapanpun dan kepada siapapun. Alhamdulillah waktu itu ngaji tentang  RKUHP yang sempat heboh di Indonesia karena kontroversinya. Ngaji bersama Syekh... https://www.facebook.com/100001082093985/posts/2701424856570224/ …"
113,"Kira2 bs kena pasal RKUHP PASAL 351 karna mengganggu ibadah umat agama lain meskipun diundang..secara anis nyonong saja otomatis ibadah misa terganggu ke khidmatannya.wong ada undangan yg lain setia menunggu,eh si anies nyelonong g punya sopan santun blas."
114,"Jadi alasannya karena enggak punya wakil di DPR jadi enggak mau komentari,.lah jadi kemarin2 PSI punya wakil di DPR-RI ya sampai komentari RKUHP
https://m.merdeka.com/politik/psi-tolak-pengesahan-rkuhp-membunuh-kebhinekaan.html …"
115,"...jadi kemarin kenapa ngebacot nolak RKUHP kalo alasannya enggak ada wakil di DPR-RI,.
https://m.merdeka.com/politik/psi-tolak-pengesahan-rkuhp-membunuh-kebhinekaan.html …"
116,"Ohh jadi ini kenapa rkuhp bikin pasal kalo hewan peliharaan tetangga masuk rumah org bakalan didenda, yaudh kalo gitu sih gua setuju deh((: https://twitter.com/merapi_news/status/1209792144971423744 …"
117,Untung pasal 218 RKUHP tidak disahkan mas kaesang https://twitter.com/kaesangp/status/1209849663634804737 …
